主人公的红色！,主角的红色!
不是可爱的后辈吗,这不是个很可爰的后辈吗
你有没有做好陪地狱之声的觉悟……？,你有配合地狱打call的决心吗你有配合地狱打call的决心吗……？
电影充满了学习,电影充满着学问喔
在恐怖电影中增强胆量之类的,看恐怖片培养胆量
通过连续剧学习壮大的人类模样,看连续剧学习宏大的人性纠葛
放学后汽水,放学后的柠檬苏打
也听听特别周的意见吧！,也问问特别周的意见吧！
就在天空之城说的右边吧！,选青云天空说的右边吧！
端上热茶,递出热茶
把上衣借给别人,借她外套
心跳鞋,心跳加速运勤鞋
轻便快跑的鞋,轻巧而能快速奔跑的运动鞋
虽然很重但似乎能锻炼的鞋子,沉重却适合用来锻炼的运动鞋
特急利美元航班？,谜题特急件?
难道是平底锅？,该不会是frying pan？
不是面包吗？,应该不是bread吧？
好好休息吧,好好休息
禁止漫画！,不准看漫画!
这点程度没什么大不了的！,这点小事没问题的!
要胶带吗？,我帮你缠运动贴布吧?
以防万一先去保健室吧！,保险起见还是去趟保健室吧!
可靠的帮手登场！,可靠的帮手，登场!
很受欢迎啊,你真受欢迎
作为教练很自豪！,作为你的训练员，我感到很骄傲!
全力发挥热情！,全力发挥热情!
即使那样说……,就算你这么说……
那就尽情地享受吧,那就让我好好享受吧
偶像的小小粉丝们,赛马娘偶像的小粉丝们
我想是肌肉锻炼！,就当作是在重训！
笑容很可爱！,面带笑容可爰地跳吧！
肌肉锻炼已经足够了吗……？,重训已经做够多了吧……
需要验证、睡眠时间和工作效率,需要验证睡眠时间与作业效率
真是强大啊,真是有活力啊
你在埋头写很难的论文啊,你在写很困难的论文啊
希西亚玛姐姐奋斗记～问题儿童篇～,菱亚姐姐奋斗记问题儿童篇
夹击抓住吧,包夹怎么样 ?
引导到运动场吧,把她诱导到操场上吧
实况录音的话CORES是我的命☆,演唱会的灵魂在于粉丝互动☆
法尔·子～～～！,飞.飞~~~!
有点害羞……,有点难为情
